cartas_jugador,num_rivales,mano_preflop,flop,mano_flop,cartas_flop,turn,mano_turn,cartas_turn,river,mano_river,cartas_river,resultado
"['10♣', 'Q♦']",7,Carta Alta Offsuit,"['10♠', '9♠', '5♠']",Pareja,"['10♣', 'Q♦', '10♠', '9♠', '5♠']",['9♣'],Doble Pareja,"['10♣', 'Q♦', '10♠', '9♠', '9♣']",['5♦'],Doble Pareja,"['10♣', 'Q♦', '10♠', '9♠', '9♣']",Derrota
"['Q♦', '3♠']",6,Carta Alta Offsuit,"['5♦', 'K♣', '5♠']",Pareja,"['Q♦', '3♠', '5♦', 'K♣', '5♠']",['K♦'],Doble Pareja,"['Q♦', '5♦', 'K♣', '5♠', 'K♦']",['6♥'],Doble Pareja,"['Q♦', '5♦', 'K♣', '5♠', 'K♦']",Derrota
"['7♠', 'A♣']",5,Carta Alta Offsuit,"['J♦', 'J♠', '3♥']",Pareja,"['7♠', 'A♣', 'J♦', 'J♠', '3♥']",['10♠'],Pareja,"['7♠', 'A♣', 'J♦', 'J♠', '10♠']",['3♠'],Doble Pareja,"['A♣', 'J♦', 'J♠', '3♥', '3♠']",Derrota
"['2♠', 'Q♣']",4,Carta Alta Offsuit,"['10♣', '10♥', '4♥']",Pareja,"['2♠', 'Q♣', '10♣', '10♥', '4♥']",['5♣'],Pareja,"['Q♣', '10♣', '10♥', '4♥', '5♣']",['A♥'],Pareja,"['Q♣', '10♣', '10♥', '5♣', 'A♥']",Derrota
"['4♦', '2♠']",8,Carta Alta Offsuit,"['5♣', '9♠', '10♣']",Carta Alta,"['4♦', '2♠', '5♣', '9♠', '10♣']",['10♥'],Pareja,"['4♦', '5♣', '9♠', '10♣', '10♥']",['8♣'],Pareja,"['5♣', '9♠', '10♣', '10♥', '8♣']",Derrota
"['7♦', '2♥']",1,Carta Alta Offsuit,"['K♠', 'K♦', 'J♦']",Pareja,"['7♦', '2♥', 'K♠', 'K♦', 'J♦']",['9♦'],Pareja,"['7♦', 'K♠', 'K♦', 'J♦', '9♦']",['A♥'],Pareja,"['K♠', 'K♦', 'J♦', '9♦', 'A♥']",Derrota
"['9♣', '4♠']",6,Carta Alta Offsuit,"['4♥', '3♠', '7♦']",Pareja,"['9♣', '4♠', '4♥', '3♠', '7♦']",['7♣'],Doble Pareja,"['9♣', '4♠', '4♥', '7♦', '7♣']",['5♥'],Doble Pareja,"['9♣', '4♠', '4♥', '7♦', '7♣']",Derrota
"['8♥', '8♣']",5,Pareja Offsuit,"['Q♥', '2♦', '9♥']",Pareja,"['8♥', '8♣', 'Q♥', '2♦', '9♥']",['J♣'],Pareja,"['8♥', '8♣', 'Q♥', '9♥', 'J♣']",['6♥'],Pareja,"['8♥', '8♣', 'Q♥', '9♥', 'J♣']",Derrota
"['5♦', '3♣']",3,Carta Alta Offsuit,"['J♦', '2♥', '5♥']",Pareja,"['5♦', '3♣', 'J♦', '2♥', '5♥']",['6♦'],Pareja,"['5♦', '3♣', 'J♦', '5♥', '6♦']",['10♦'],Pareja,"['5♦', 'J♦', '5♥', '6♦', '10♦']",Derrota
"['4♥', '8♣']",6,Carta Alta Offsuit,"['Q♦', '4♠', '10♦']",Pareja,"['4♥', '8♣', 'Q♦', '4♠', '10♦']",['7♣'],Pareja,"['4♥', '8♣', 'Q♦', '4♠', '10♦']",['2♣'],Pareja,"['4♥', '8♣', 'Q♦', '4♠', '10♦']",Derrota
